location;duration;category;name;info 
false;false;Kultur;einem Besuch im Theater?;München hat viele Spielstätten mit tollem Programm. In deiner Nähe befindet sich das Volkstheater am Stiglmaierplatz. Im Programm heute Abend um 19 Uhr 30 ist: ein Sommernachtstraum.
false;false;Kultur;einem Besuch im Museum Mensch und Natur?;Das Museum Mensch und Natur befindet sich im Schloss Nymphenburg. Es vermittelt Wissen über die Geschichte und Vielfalt der Erde auf die unterhaltsame Art. Es ist heute noch bis 17 Uhr geöffnet.
false;false;Kultur;einem Besuch im Deutschen Museum?;Das deutsche Museum ist das größte Technikmuseum der Welt mit über 50 Themenbereichen. Als Besucher darfst du dort vieles ausprobieren und viele Exponate anfassen. Das Museum hat heute bis 17 Uhr geöffnet und befindet sich am Isartor.
false;false;Kultur;einem Besuch im Haus der Kunst?;Das Haus der Kunst liegt am Englischen Garten. Es zeigt Retrospektiven moderner, zeitgenössischer Künstler oder themenbezogene Ausstellungen. Das Museum hat heute bis 17 Uhr geöffnet.
false;false;Kultur;einem Besuch in den Pinakotheken?;Die Pinakotheken sind drei Häuser, nämlich die Alte Pinakothek, die neue Pinakothek und die Pinakothek der Moderne. Sie gehören zu den renommiertesten Kunstsammlungen weltweit. Sie befinden sich in der Barer Straße und sind heute bis 18 Uhr geöffnet. 
false;false;Kultur;einem Besuch im Ägyptisches Museum?;Hier begegnet man über 5000 Jahren ägyptischer Geschichte. Das Museum setzt dabei auf moderne Technik. Du kannst hier alles über das Leben der Ägypter erfahren. Es befindet sich in der Gabelsbergerstraße 35 und ist heute bis 18 Uhr geöffnet.
false;false;Kultur;einem Besuch in den Staatlichen Antikensammlungen?;Die Staatlichen Antikensammlungen präsentieren griechische, etruskische und römische Kleinkunst. Hier kannst du in eine längst vergangene Welt eintauchen. Sie befindet sich am Königsplatz und ist heute bis 18 Uhr geöffnet.
false;false;Kultur;einer Ausstellung?;"München bietet das ganze Jahr über viele spannende Ausstellungen. In deiner Nähe befindet sich zum Beispiel das Lenbachhaus. Heute wird dort die Sammlung ""Der blaue Reiter"" gezeigt. "
false;true;Kultur;einer Stadtrundfahrt mit der Tram 19?;Die Tram 19 fährt durch einige der schönsten Ecken Münchens. An interessanten Stellen kann man einfach aussteigen und sich umsehen, und in die nächste Tram wieder einsteigen. Die nächstgelegene Haltestelle ist der Hauptbahnhof. Die Tram fährt alle 5 Minuten. 
false;true;Kultur;einem Tag im Literaturhaus?;Das Literaturhaus liegt am Salvatorplatz in der Münchner Altstadt. Es wird ein umfangreiches Programm angeboten mit Ausstellungen, Lesungen, Diskussionen und Workshops. Es hat heute noch bis 19 Uhr geöffnet.
false;true;Kultur;dem Botanischen Garten?;Hast du Lust auf einen Trip in tropisches Klima? Im Botanischen Garten in Nymphenburg kannst du exotische Pflanzen und Tiere entdecken. Er ist heute noch bis 16 Uhr 30 geöffnet.
false;false;Sport;einem Besuch im Schwimmbad?;Egal, wie grau es draußen ist - im Müller'schen Volksbad fühlst du dich immer erhaben. Schon das Jugendstil-Flair ist ein Erlebnis für sich. Es liegt in der Nähe des Isartors und ist heute noch bis 23 Uhr geöffnet.
false;false;Sport;Gokart fahren?;Willst du dich wie ein Rennfahrer fühlen? Dann ist das genau das richtige für dich: hier kannst du richtig aufs Gaspedal treten. Die GoKart Arena in Neufinsing hat jeden Tag bis 22 Uhr geöffnet. 
false;false;Sport;Trampolinspringen im AirHop?;In der riesigen Trampolinanlage kannst du dich auf über 3.400 Quadratmetern austoben. Du kannst Springen, einen Salto üben, Völkerball spielen und vieles mehr. Die Arena liegt in der Ingolstädter Straße 172  und bis 21 Uhr geöffnet. 
