location;duration;category;name;info 
false;false;Kultur;Theater;München hat viele Spielstätten mit tollem Programm. Die Bayerische Staatsoper, das Volkstheater oder die Münchner Kammerspiele sind immer ein Erlebnis. 
false;false;Kultur;Museum Mensch und Natur;Das Museum Mensch und Natur ist im Schloss Nymphenburg. Es vermittelt Wissen über die Geschichte und Vielfalt der Erde auf die unterhaltsame Art. 
false;false;Kultur;Deutsches Museum;Das deutsche Museum ist das größte Technikmuseum der Welt mit über 50 Themenbereichen. Es ist nicht nur Ausstellungsraum, sondern auch eine riesige Spielwiese. Als Besucher darfst du an Knöpfen drehen, Hebel und Schalter umlegen und viele Exponate anfassen. 
false;false;Kultur;Haus der Kunst;Das Haus der Kunst liegt am Englischen Garten. Es zeigt Retrospektiven moderner, zeitgenössischer Künstler oder themenbezogene Ausstellungen. 
false;false;Kultur;Die Pinakotheken;Die Pinakotheken sind drei Häuser, nämlich die Alte Pinakothek, die neue Pinakothek und die Pinakothek der Moderne. Sie gehören zu den renommiertesten Kunstsammlungen weltweit.   
false;false;Kultur;Ägyptisches Museum;Hier begegnet man über 5000 Jahren ägyptischer Geschichte. Das Museum setzt dabei auf moderne Technik. Du kannst hier alles über das Leben der Ägypter erfahren. 
false;false;Kultur;Staatliche Antikensammlungen;Die Staatlichen Antikensammlungen präsentieren griechische, etruskische und römische Kleinkunst. Hier kannst du in eine längst vergangene Welt eintauchen. 
false;false;Kultur;Ausstellung;München bietet das ganze Jahr über viele spannende Ausstellungen. Zu finden sind sie zum Beispiel im Lenbachhaus oder der Villa Stuck. 
false;true;Kultur;Stadtrundfahrt mit der Tram 19;Die Tram 19 fährt durch einige der schönsten Ecken Münchens. An interessanten Stellen kann man einfach aussteigen und sich umsehen, und in die nächste Tram wieder einsteigen. Und es ist nicht mal teuer: es wird nämlich nur ein normaler Fahrschein benötigt.
false;true;Kultur;Literaturhaus;Das Literaturhaus liegt am Salvatorplatz in der Münchner Altstadt. Es wird ein umfangreiches Programm angeboten mit Ausstellungen, Lesungen, Diskussionen und Workshops. Ein toller Tipp für alle, die sich für Literatur interessieren.
false;true;Kultur;Botanischer Garten;Ihr habt Lust auf einen Trip in tropisches Klima? Dann haben wir einen Ort, an dem Ihr mitten in München exotische Pflanzen und Tiere entdecken könnt. Im Frühjahr und Sommer blüht es überall. Und in den Gewächshäusern warten das ganze Jahr über fantastische Kakteen und Orchideen auf Euch. Ein nettes Café gibt es auch.
false;false;Sport;Schwimmbad;Egal, wie grau es draußen ist - im Müller'schen Volksbad fühlst du dich immer erhaben. Schon das Jugendstil-Flair ist ein Erlebnis für sich. Aber auch in allen anderen Münchner Schwimmbädern lässt sich der Tag in Bad und Sauna verbringen. 
false;false;Sport;Gokart fahren;Auf den Kart-Bahnen kann man einmal richtig aufs Gaspedal treten. Willst du dich wie ein kleiner Rennfahrer fühlen? Dann ist das genau das richtige für dich. Die GoKart Arena in Neufinsing hat jeden Tag bis 22 Uhr geöffnet. 
false;false;Sport;Air Hop Trampolin;In der riesigen Trampolinanlage kannst du dich auf über 3.400 Quadratmetern austoben. Du kannst Springen, einen Salto üben, Völkerball spielen und vieles mehr. Die Arena hat jeden Tag bis 21 Uhr geöffnet. 
false;true;Sport;Bouldern;Eine der weltweit größten Boulderhallen liegt in der Nähe des Ostbahnhofs. Sie bietet rund 1600 Quadratmeter Kletterfläche. Sie hat jeden Tag bis 23 Uhr geöffnet. 
false;true;Sport;Klettern;Die alpine Herausforderung in der Stadt. Das Kletter- und Boulderzentrum in München ist die größte Kletteranlage der Welt. Die künstlichen Bergwände sind bis zu 18 Meter hoch. Es ist für Anfänger und Fortgeschrittene geeignet und jeden Tag bis 23 Uhr geöffnet. 
false;true;Sport;Schwimmbad;Egal, wie grau es draußen ist - im Müller'schen Volksbad fühlst du dich immer erhaben. Schon das Jugendstil-Flair ist ein Erlebnis für sich. Schwimmer ziehen hier in Ruhe Bahnen und im Saunabereich gibt's unter anderem ein wunderschönes Dampfbad mit Kaskadenbrunnen. Aber auch in allen anderen Münchner Schwimmbädern lässt sich der Tag verbringen. 
false;false;Spass;Kino;Hast du mal wieder Lust auf einen spannenden Film? Oder darfs lieber eine lustige Komödie sein? In München gibt es eine Vielzahl an großen und kleinen Kinos die genau den Film für deinen Geschmack bieten! 
false;false;Spass;Escape Room ;In dieser spannenden Attraktion bist du mit deinen Freunden in einem mysteriösen Raum. Löse originelle und spannende Rätsel, um dort zu entkommen. Es gibt viele Anbieter in München und sicher auch einen in deiner Nähe! 
false;false;Spass;Lasertag;Weste an und los geht’s! Bei Lasertag erlebst du völlig neue Dimensionen. Hier sind körperliche Ausdauer, taktisches Verständnis und Teamgeist gefragt. Geh an deine Grenzen, zeig dein Können und führe dein Team zum Sieg. TerraMars bietet eine Lasertag Arena in Obersendling an.  
false;false;Spass;Allianz Arena Führung;Wirf einen Blick hinter die Kulissen der Allianz Arena und entdecke die Mannschaftskabine und vieles mehr. In der FC Bayern Erlebniswelt erfährst du alles über den Münchner Verein und kannst die zahlreichen Pokale und Meisterschalen bewundern. 
false;true;Spass;Therme;Einen entspannten Tag kann man toll in der Therme Erding verbringen. Sie ist die größte Therme der Welt. Hier gibt es 27 Rutschen, ein Wellenbad, eine exotische Therme und Saunen. 
false;true;Spass;Bavaria Filmstadt;Entdecke die Welt von Film und Fernsehen. Bei einer Führung über das Filmgelände erfährst du alles übers Filmemachen und kannst dir die Originalkulissen von berühmten Filmen ansehen. 
