location,duration,category,name,info
false,false,Kultur,Theater,
false,false,Kultur,Museum,
false,false,Kultur,Ausstellung,
false,true,Kultur,Museum,
false,true,Kultur,Literatur Haus,
true,false,Kultur,Schloss Nymbenburg,
true,false,Kultur,Botanischer Garten,
true,false,Kultur,Bayerischer Landtag,
true,false,Kultur,Rathaus,
true,true,Kultur,Schloss Neuschwanstein,
true,true,Kultur,Herrenchiemsee,
true,true,Kultur,Kloster Andechs,
true,true,Kultur,3-Touren Stadtrundfahrt,
false,false,Sport,Bouldern,
false,false,Sport,Air Hop (Trampolin),
false,false,Sport,Schwimmbad,
true,false,Sport,Flying Fox,
false,true,Sport,Jochen Schweizer Arena,
false,true,Sport,Gokart fahren,
true,true,Sport,Wandern,
true,true,Sport,Klettergarten,
false,false,Spaß,Therme,
false,false,Spaß,Kino,
false,false,Spaß,Escape Room,
false,false,Spaß,Lasertag,
false,false,Spaß,Alianz Arena,
false,false,Spaß,Bowling,
true,false,Spaß,(Moonlight) Minigolf,
false,true,Spaß,Bavaria Filmstadt,
true,true,Spaß,Zoo,
true,true,Spaß,Skyline Park,
true,true,Spaß,Wildpark,
true,false,Natur,Radltour durch München,
true,false,Natur,Picknick im Englischen Garten,
true,false,Natur,Spaziergang an der Isar,
true,true,Natur,Münchner Seen,
true,true,Natur,Zugspitzbahn,
true,true,Natur,Partnachklamm,
